,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
0,0,0,0,0,8,128,2
0,0,0,0,0,9,144,3
0,0,0,0,0,8,128,4
0,0,0,0,0,15,128,5
0,0,0,0,0,15,64,6
0,0,0,0,0,240,4,7
0,0,0,0,0,0,2,8
1,0,0,0,0,15,128,8
2,0,0,0,0,240,2,8
0,0,0,0,0,15,16,9
1,0,0,0,0,15,128,9
0,0,0,0,0,15,240,10
0,0,0,0,0,12,192,11
1,0,0,0,0,15,128,11
0,0,0,0,0,12,192,12
1,0,0,0,0,15,128,12
2,0,0,0,0,15,192,12
0,0,0,0,0,3,48,13
0,0,0,0,0,9,144,14
1,0,0,0,0,15,128,14
0,0,0,0,0,6,96,15
0,0,0,0,0,9,144,16
0,0,0,0,0,14,224,17
0,0,0,0,0,15,128,18
0,0,0,0,0,15,64,19
1,0,0,0,0,15,128,19
0,0,0,0,0,15,128,20
0,0,0,0,0,6,96,21
1,0,0,0,0,6,192,21
2,0,0,0,0,14,128,21
3,0,0,0,0,15,128,21
0,0,0,0,0,9,144,22
1,0,0,0,0,15,64,22
2,0,0,0,0,15,128,22
0,0,0,0,0,9,144,23
1,0,0,0,0,15,32,23
2,0,0,0,0,15,128,23
0,0,0,0,0,12,195,24
1,0,0,0,0,15,192,24
2,0,0,0,0,60,195,24
0,0,0,0,0,9,144,25
1,0,0,0,0,15,128,25
0,0,0,0,0,15,128,26
0,0,0,0,0,0,128,27
1,0,0,0,0,12,192,27
2,0,0,0,0,15,128,27
3,0,0,0,0,15,192,27
4,0,0,0,0,16,128,27
5,0,0,0,0,112,128,27
0,0,0,0,0,15,192,28
0,0,0,0,0,15,64,29
0,0,0,0,0,15,96,30
0,0,0,0,0,15,16,31
1,0,0,0,0,15,128,31
0,0,0,0,0,15,128,32
0,0,0,0,0,15,128,33
1,0,0,0,0,15,144,33
2,0,0,0,0,15,192,33
0,0,0,0,0,15,240,34
0,0,0,0,0,48,192,35
0,0,0,0,0,96,144,36
0,0,0,0,0,192,48,37
0,0,0,0,0,96,144,38
0,0,0,0,0,14,192,39
1,0,0,0,0,15,192,39
2,0,0,0,0,48,192,39
0,0,0,0,0,15,192,40
1,0,0,0,0,96,144,40
0,0,0,0,0,15,144,41
0,0,0,0,0,15,240,42
0,0,0,0,0,15,192,43
0,0,0,0,0,15,128,44
0,0,0,0,0,15,128,45
1,0,0,0,0,15,192,45
0,0,0,0,0,15,128,46
0,0,0,0,0,15,64,47
1,0,0,0,0,15,128,47
0,0,0,0,0,15,128,48
0,0,0,0,0,15,192,49
0,0,0,0,0,15,240,50
0,0,0,0,0,15,32,51
0,0,0,0,0,15,32,52
0,0,0,0,0,15,16,53
0,0,0,0,0,15,128,54
0,0,0,0,0,15,128,55
0,0,0,0,0,15,128,56
1,0,0,0,0,15,192,56
0,0,0,0,0,15,192,57
0,0,0,0,0,15,192,58
0,0,0,0,0,15,192,59
0,0,0,0,0,15,192,60
0,0,0,0,0,15,48,61
1,0,0,0,0,15,96,61
0,0,0,0,0,15,144,62
0,0,0,0,0,15,128,63
0,0,0,0,0,15,128,64
1,0,0,0,0,15,192,64
0,0,0,0,0,15,128,65
0,0,0,0,0,15,128,66
0,0,0,0,0,15,128,67
0,0,0,0,0,15,128,68
0,0,0,0,0,15,128,69
0,0,0,0,0,13,128,70
1,0,0,0,0,15,128,70
0,0,0,0,0,15,128,71
0,0,0,0,0,15,128,72
0,0,0,0,0,15,128,73
0,0,0,0,0,15,128,74
0,0,0,0,0,15,32,75
1,0,0,0,0,15,128,75
0,0,0,0,0,15,32,76
1,0,0,0,0,15,128,76
0,0,0,0,0,15,128,77
0,0,0,0,0,15,128,78
0,0,0,0,0,15,32,79
1,0,0,0,0,15,128,79
0,0,0,0,0,15,128,80
1,0,0,0,0,15,192,80
0,0,0,0,0,15,192,81
0,0,0,0,0,15,192,82
0,0,0,0,0,15,192,83
0,0,0,0,0,15,32,84
1,0,0,0,0,15,128,84
0,0,0,0,0,15,16,85
1,0,0,0,0,15,32,85
2,0,0,0,0,15,64,85
