,Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
0,U,20160926,0,0,0,0,8,128,1,1,0,0,1,2
1,U,20160926,0,0,0,0,8,128,75,200,0,1,0,0
2,U,20160926,0,0,0,0,8,128,350,200,1,1,0,1
3,U,20160926,0,0,0,0,8,128,492,200,0,1,0,0
4,U,20160926,0,0,0,0,8,128,1000,200,3,6,0,7
5,U,20160926,0,0,0,0,8,128,1071,200,6,1,0,5
6,U,20160926,0,0,0,0,8,128,1142,200,3,3,0,5
7,U,20160926,0,0,0,0,8,128,1214,200,4,3,1,6
8,U,20160926,0,0,0,0,8,128,1250,200,0,2,0,2
9,U,20160926,0,0,0,0,8,128,1285,200,2,5,0,9
10,U,20160926,0,0,0,0,8,128,1321,200,0,4,0,5
11,U,20160926,0,0,0,0,8,128,1357,200,2,6,0,9
12,U,20160926,0,0,0,0,8,128,1392,200,0,4,1,1
13,U,20160926,0,0,0,0,8,128,1428,200,0,7,1,4
14,U,20160926,0,0,0,0,8,128,1464,200,2,2,0,2
15,U,20160926,0,0,0,0,8,128,1500,200,5,24,1,35
16,U,20160926,0,0,0,0,8,128,1535,200,0,4,2,3
17,U,20160926,0,0,0,0,8,128,1571,200,2,8,1,15
18,U,20160926,0,0,0,0,8,128,1607,200,0,3,0,4
19,U,20160926,0,0,0,0,8,128,1642,200,3,7,0,7
20,U,20160926,0,0,0,0,8,128,1678,200,1,2,0,2
21,U,20160926,0,0,0,0,8,128,1714,200,1,9,0,16
22,U,20160926,0,0,0,0,8,128,1750,200,7,7,0,13
23,U,20160926,0,0,0,0,8,128,1785,200,1,9,0,10
24,U,20160926,0,0,0,0,8,128,1857,200,0,10,0,7
25,U,20160926,0,0,0,0,8,128,1928,200,2,10,0,3
26,U,20160926,0,0,0,0,8,128,2000,200,0,13,0,16
27,U,20160927,0,0,0,0,9,144,1,1,0,1,0,1
28,U,20160927,0,0,0,0,9,144,1000,200,12,13,9,21
29,U,20160927,0,0,0,0,9,144,1100,200,12,15,4,33
30,U,20160927,0,0,0,0,9,144,1200,200,10,18,1,18
31,U,20160927,0,0,0,0,9,144,1300,200,10,17,5,31
32,U,20160927,0,0,0,0,9,144,1400,200,6,22,2,16
33,U,20160927,0,0,0,0,9,144,1500,200,6,21,3,19
34,U,20160927,0,0,0,0,9,144,1600,200,8,20,5,21
35,U,20160927,0,0,0,0,9,144,1700,200,4,23,8,31
36,U,20160928,0,0,0,0,8,128,100,200,1,1,2,3
37,U,20160928,0,0,0,0,8,128,442,200,0,2,2,0
38,U,20160928,0,0,0,0,8,128,500,200,25,2,7,33
39,U,20160928,0,0,0,0,8,128,528,200,0,1,0,1
40,U,20160928,0,0,0,0,8,128,700,200,20,7,2,22
41,U,20160928,0,0,0,0,8,128,900,200,15,14,6,25
42,U,20160928,0,0,0,0,8,128,1000,200,1,3,0,4
43,U,20160928,0,0,0,0,8,128,1071,200,1,0,0,1
44,U,20160928,0,0,0,0,8,128,1100,200,8,18,4,25
45,U,20160928,0,0,0,0,8,128,1128,200,0,2,0,0
46,U,20160928,0,0,0,0,8,128,1300,200,5,22,2,24
47,U,20160928,0,0,0,0,8,128,1471,200,0,1,1,0
48,U,20160928,0,0,0,0,8,128,1500,200,3,25,0,18
49,U,20160928,0,0,0,0,8,128,1700,200,1,27,4,24
50,U,20160928,0,0,0,0,8,128,1814,200,0,2,0,2
51,U,20160928,0,0,0,0,8,128,1900,200,3,24,4,18
52,U,20160928,0,0,0,0,8,128,2157,200,0,2,1,1
53,U,20160928,0,0,0,0,8,128,2500,200,0,2,2,0
54,U,20160929,0,0,0,0,15,128,1,1,0,0,0,1
55,U,20160929,0,0,0,0,15,128,300,200,26,4,5,23
56,U,20160929,0,0,0,0,15,128,500,200,29,11,13,34
