Curve,Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels
0,U,20160926,0,0,0,0,8,128
1,U,20160927,0,0,0,0,9,144
2,U,20160928,0,0,0,0,8,128
3,U,20160929,0,0,0,0,15,128
4,U,20161003,0,0,0,0,15,64
5,U,20161005,0,0,0,0,240,4
6,U,20161006,0,0,0,0,0,2
7,U,20161006,0,0,0,0,15,128
8,U,20161006,0,0,0,0,240,2
9,U,20161007,0,0,0,0,15,16
10,U,20161007,0,0,0,0,15,128
11,U,20161010,0,0,0,0,15,240
12,U,20161011,0,0,0,0,12,192
13,U,20161011,0,0,0,0,15,128
14,U,20161012,0,0,0,0,12,192
15,U,20161012,0,0,0,0,15,128
16,U,20161012,0,0,0,0,15,192
17,U,20161013,0,0,0,0,3,48
18,U,20161014,0,0,0,0,9,144
19,U,20161014,0,0,0,0,15,128
20,U,20161017,0,0,0,0,6,96
21,U,20161018,0,0,0,0,9,144
22,U,20161019,0,0,0,0,14,224
23,U,20161020,0,0,0,0,15,128
24,U,20161021,0,0,0,0,15,64
25,U,20161021,0,0,0,0,15,128
26,U,20161025,0,0,0,0,15,128
27,U,20161026,0,0,0,0,6,96
28,U,20161026,0,0,0,0,6,192
29,U,20161026,0,0,0,0,14,128
30,U,20161026,0,0,0,0,15,128
31,U,20161027,0,0,0,0,9,144
32,U,20161027,0,0,0,0,15,64
33,U,20161027,0,0,0,0,15,128
34,U,20161028,0,0,0,0,9,144
35,U,20161028,0,0,0,0,15,32
36,U,20161028,0,0,0,0,15,128
37,U,20161031,0,0,0,0,12,195
38,U,20161031,0,0,0,0,15,192
39,U,20161031,0,0,0,0,60,195
40,U,20161101,0,0,0,0,9,144
41,U,20161101,0,0,0,0,15,128
42,U,20161102,0,0,0,0,15,128
43,U,20161103,0,0,0,0,0,128
44,U,20161103,0,0,0,0,12,192
45,U,20161103,0,0,0,0,15,128
46,U,20161103,0,0,0,0,15,192
47,U,20161103,0,0,0,0,16,128
48,U,20161103,0,0,0,0,112,128
49,U,20161104,0,0,0,0,15,192
50,U,20161109,0,0,0,0,15,64
51,U,20161110,0,0,0,0,15,96
52,U,20161111,0,0,0,0,15,16
53,U,20161111,0,0,0,0,15,128
54,U,20161114,0,0,0,0,15,128
55,U,20161115,0,0,0,0,15,128
56,U,20161115,0,0,0,0,15,144
57,U,20161115,0,0,0,0,15,192
58,U,20161116,0,0,0,0,15,240
59,U,20161117,0,0,0,0,48,192
60,U,20161118,0,0,0,0,96,144
61,U,20161121,0,0,0,0,192,48
62,U,20161122,0,0,0,0,96,144
63,U,20161128,0,0,0,0,14,192
64,U,20161128,0,0,0,0,15,192
65,U,20161128,0,0,0,0,48,192
66,U,20161129,0,0,0,0,15,192
67,U,20161129,0,0,0,0,96,144
68,U,20161130,0,0,0,0,15,144
69,U,20161201,0,0,0,0,15,240
70,U,20161202,0,0,0,0,15,192
71,U,20161207,0,0,0,0,15,128
72,U,20161208,0,0,0,0,15,128
73,U,20161208,0,0,0,0,15,192
74,U,20161209,0,0,0,0,15,128
75,U,20161212,0,0,0,0,15,64
76,U,20161212,0,0,0,0,15,128
77,U,20161213,0,0,0,0,15,128
78,U,20161214,0,0,0,0,15,192
79,U,20161215,0,0,0,0,15,240
80,U,20161216,0,0,0,0,15,32
81,U,20161219,0,0,0,0,15,32
82,U,20161220,0,0,0,0,15,16
83,U,20161221,0,0,0,0,15,128
84,U,20161222,0,0,0,0,15,128
85,U,20161223,0,0,0,0,15,128
86,U,20161223,0,0,0,0,15,192
87,U,20161226,0,0,0,0,15,192
88,U,20161227,0,0,0,0,15,192
89,U,20161228,0,0,0,0,15,192
90,U,20161229,0,0,0,0,15,192
91,U,20161230,0,0,0,0,15,48
92,U,20161230,0,0,0,0,15,96
93,U,20170102,0,0,0,0,15,144
94,U,20170103,0,0,0,0,15,128
95,U,20170104,0,0,0,0,15,128
96,U,20170104,0,0,0,0,15,192
97,U,20170105,0,0,0,0,15,128
98,U,20170110,0,0,0,0,15,128
99,U,20170111,0,0,0,0,15,128
100,U,20170112,0,0,0,0,15,128
101,U,20170116,0,0,0,0,15,128
102,U,20170117,0,0,0,0,13,128
103,U,20170117,0,0,0,0,15,128
104,U,20170118,0,0,0,0,15,128
105,U,20170119,0,0,0,0,15,128
106,U,20170120,0,0,0,0,15,128
107,U,20170206,0,0,0,0,15,128
108,U,20170207,0,0,0,0,15,32
109,U,20170207,0,0,0,0,15,128
110,U,20170208,0,0,0,0,15,32
111,U,20170208,0,0,0,0,15,128
112,U,20170209,0,0,0,0,15,128
113,U,20170211,0,0,0,0,15,128
114,U,20170212,0,0,0,0,15,32
115,U,20170212,0,0,0,0,15,128
116,U,20170214,0,0,0,0,15,128
