curveID,Ref Amp,Ref PW,Active Channels,Return Channels,Monkey,Date,FAs,CRs,n_Amp,n_PW
3.0,0,200,15,128,U,20180326,2.0,189,16,1
8.0,0,0,15,128,Z,20161221,37.0,434,8,1
9.0,0,0,15,128,U,20170103,6.0,261,1,9
14.0,200,200,15,128,Y,20170410,49.0,57,8,1
15.0,250,200,15,128,Y,20170410,83.0,131,12,1
17.0,0,200,15,128,U,20180418,22.0,364,8,1
18.0,0,0,15,128,Y,20161212,165.0,216,9,1
19.0,1500,200,112,128,U,20180228,8.0,109,8,1
21.0,2400,200,112,128,U,20180228,1.0,52,8,1
23.0,2500,200,112,128,U,20180228,4.0,41,3,1
25.0,0,0,240,4,U,20161005,24.0,245,8,1
26.0,0,0,15,128,Y,20170109,54.0,366,8,2
27.0,400,100,15,16,U,20170605,3.0,47,1,8
28.0,400,150,15,16,U,20170605,18.0,44,1,8
29.0,400,200,15,16,U,20170605,8.0,42,1,8
30.0,400,250,15,16,U,20170605,11.0,57,1,8
31.0,400,100,15,128,U,20170605,3.0,44,1,7
33.0,0,0,15,192,U,20170214,4.0,234,8,1
35.0,0,0,15,192,U,20161228,5.0,300,1,9
39.0,500,200,15,128,U,20180404,9.0,92,8,1
40.0,800,200,15,128,U,20180404,5.0,59,8,1
42.0,0,200,15,32,Y,20170712,16.0,100,8,1
43.0,200,200,15,32,Y,20170712,30.0,81,8,1
44.0,400,200,15,32,Y,20170712,36.0,67,8,1
45.0,600,200,15,32,Y,20170712,60.0,27,8,1
46.0,0,0,15,32,U,20161219,4.0,273,8,1
48.0,1300,200,112,128,U,20180315,4.0,68,8,1
51.0,0,200,15,32,Y,20170801,33.0,67,8,1
52.0,200,200,15,32,Y,20170801,27.0,54,8,1
53.0,400,200,15,32,Y,20170801,95.0,115,8,1
58.0,0,0,15,128,Z,20170120,13.0,132,8,1
59.0,0,0,15,64,Z,20170120,1.0,73,8,1
60.0,0,0,15,32,Z,20170120,12.0,281,8,1
61.0,0,0,15,128,Z,20170120,2.0,90,8,1
62.0,0,0,15,64,Z,20170120,4.0,55,8,1
64.0,0,0,15,32,Z,20170120,6.0,58,8,1
65.0,0,0,15,16,Z,20170120,21.0,113,8,1
66.0,0,0,112,128,Y,20161028,46.0,263,9,9
67.0,0,200,15,16,Y,20170804,38.0,46,8,1
68.0,200,200,15,16,Y,20170804,14.0,57,8,1
69.0,400,200,15,16,Y,20170804,32.0,78,8,1
70.0,600,200,15,16,Y,20170804,95.0,46,8,1
71.0,0,0,15,128,U,20170317,60.0,343,8,1
72.0,300,200,15,128,Y,20170418,9.0,154,12,1
73.0,420,200,15,128,Y,20170418,9.0,52,8,1
74.0,0,0,15,128,Y,20170118,161.0,245,8,1
75.0,0,0,15,128,Y,20161101,65.0,390,4,1
76.0,0,0,224,16,Y,20161231,55.0,119,8,1
79.0,0,0,15,64,U,20161027,16.0,282,3,8
81.0,400,200,112,128,U,20180314,8.0,92,8,1
82.0,700,200,112,128,U,20180314,2.0,90,8,1
83.0,1300,200,112,128,U,20180314,5.0,92,8,1
84.0,400,100,15,32,U,20170609,3.0,54,1,8
85.0,400,150,15,32,U,20170609,5.0,65,1,8
86.0,400,200,15,32,U,20170609,8.0,63,1,8
87.0,400,250,15,32,U,20170609,7.0,43,1,8
88.0,400,250,15,240,U,20180518,30.0,159,1,9
90.0,0,0,15,16,Y,20161220,79.0,393,12,1
91.0,0,0,15,128,Y,20161227,29.0,79,8,6
92.0,0,0,48,192,U,20161117,20.0,308,9,1
93.0,0,0,3,48,Y,20161013,75.0,331,8,1
95.0,0,0,15,128,Y,20161026,42.0,265,1,8
100.0,200,100,14,64,Y,20170523,112.0,44,1,8
101.0,200,300,14,64,Y,20170523,54.0,10,1,4
103.0,200,200,14,64,Y,20170523,66.0,76,1,8
104.0,0,0,15,192,U,20161104,27.0,338,1,9
115.0,300,200,15,240,U,20180514,9.0,93,1,9
116.0,500,200,15,240,U,20180514,10.0,62,1,6
117.0,0,0,15,240,U,20161010,25.0,320,8,1
122.0,400,200,11,128,U,20170526,5.0,90,1,10
124.0,400,300,11,128,U,20170526,17.0,172,1,15
125.0,0,200,15,32,Y,20170629,18.0,81,8,1
126.0,200,200,15,32,Y,20170629,42.0,113,8,1
127.0,400,200,15,32,Y,20170629,38.0,99,8,1
128.0,0,0,15,128,Z,20161213,178.0,296,1,1
130.0,0,0,12,192,U,20161011,24.0,346,8,1
131.0,0,200,15,32,Y,20170614,3.0,40,5,1
132.0,200,200,15,32,Y,20170614,21.0,50,8,1
133.0,400,200,15,32,Y,20170614,14.0,50,8,1
134.0,600,200,15,32,Y,20170614,45.0,56,8,1
136.0,0,200,15,128,U,20180424,6.0,78,8,1
137.0,0,200,15,192,U,20180424,11.0,214,8,1
138.0,0,200,15,240,U,20180502,2.0,152,8,1
139.0,400,200,15,240,U,20180502,11.0,74,8,1
141.0,0,200,15,128,U,20180405,1.0,84,8,1
142.0,500,200,15,128,U,20180405,14.0,117,8,1
144.0,0,200,15,16,Y,20170711,16.0,106,8,1
145.0,200,200,15,16,Y,20170711,9.0,72,8,1
146.0,400,200,15,16,Y,20170711,55.0,72,8,1
147.0,0,0,15,128,U,20170208,9.0,152,1,9
149.0,0,0,15,128,U,20170208,1.0,72,1,9
150.0,0,0,15,128,U,20170220,22.0,195,8,1
151.0,0,0,15,32,U,20170220,7.0,56,8,1
152.0,0,200,15,16,Y,20170718,30.0,47,7,1
153.0,200,200,15,16,Y,20170718,11.0,67,8,1
154.0,400,200,15,16,Y,20170718,35.0,87,8,1
155.0,600,200,15,16,Y,20170718,40.0,41,8,1
156.0,0,200,15,32,Y,20170718,9.0,61,8,1
157.0,0,0,7,112,Y,20161019,76.0,274,16,1
158.0,0,200,15,16,Y,20170615,4.0,56,8,1
159.0,200,200,15,16,Y,20170615,13.0,72,8,1
160.0,400,200,15,16,Y,20170615,9.0,60,8,1
161.0,600,200,15,16,Y,20170615,15.0,72,8,1
162.0,0,200,15,128,Y,20170615,25.0,29,5,1
164.0,0,0,15,128,Y,20170221,2.0,99,8,1
165.0,0,0,15,64,Y,20170221,2.0,81,8,1
166.0,0,0,15,16,Y,20170221,12.0,146,8,1
168.0,0,0,9,144,U,20161018,18.0,283,8,1
169.0,0,0,15,128,Z,20161212,146.0,247,1,1
171.0,0,0,15,192,U,20170104,0.0,110,1,9
173.0,0,0,15,192,U,20170104,1.0,167,1,9
174.0,0,200,15,16,Y,20170814,76.0,57,8,1
175.0,200,200,15,16,Y,20170814,57.0,80,8,1
176.0,400,200,15,16,Y,20170814,60.0,121,8,1
180.0,0,0,15,16,Y,20170309,11.0,89,8,1
182.0,0,0,15,128,Y,20170309,1.0,104,8,1
183.0,0,0,15,64,Y,20170309,6.0,140,15,1
185.0,0,0,60,195,U,20161031,11.0,63,8,1
