Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
U,20160926,0,0,0,0,8,128,1,1,0,0,1,2
U,20160926,0,0,0,0,8,128,75,200,0,1,0,0
U,20160926,0,0,0,0,8,128,350,200,1,1,0,1
U,20160926,0,0,0,0,8,128,492,200,0,1,0,0
U,20160926,0,0,0,0,8,128,1000,200,3,6,0,7
U,20160926,0,0,0,0,8,128,1071,200,6,1,0,5
U,20160926,0,0,0,0,8,128,1142,200,3,3,0,5
U,20160926,0,0,0,0,8,128,1214,200,4,3,1,6
U,20160926,0,0,0,0,8,128,1250,200,0,2,0,2
U,20160926,0,0,0,0,8,128,1285,200,2,5,0,9
U,20160926,0,0,0,0,8,128,1321,200,0,4,0,5
U,20160926,0,0,0,0,8,128,1357,200,2,6,0,9
U,20160926,0,0,0,0,8,128,1392,200,0,4,1,1
U,20160926,0,0,0,0,8,128,1428,200,0,7,1,4
U,20160926,0,0,0,0,8,128,1464,200,2,2,0,2
U,20160926,0,0,0,0,8,128,1500,200,5,24,1,35
U,20160926,0,0,0,0,8,128,1535,200,0,4,2,3
U,20160926,0,0,0,0,8,128,1571,200,2,8,1,15
U,20160926,0,0,0,0,8,128,1607,200,0,3,0,4
U,20160926,0,0,0,0,8,128,1642,200,3,7,0,7
U,20160926,0,0,0,0,8,128,1678,200,1,2,0,2
U,20160926,0,0,0,0,8,128,1714,200,1,9,0,16
U,20160926,0,0,0,0,8,128,1750,200,7,7,0,13
U,20160926,0,0,0,0,8,128,1785,200,1,9,0,10
U,20160926,0,0,0,0,8,128,1857,200,0,10,0,7
U,20160926,0,0,0,0,8,128,1928,200,2,10,0,3
U,20160926,0,0,0,0,8,128,2000,200,0,13,0,16
U,20160927,0,0,0,0,9,144,1,1,0,1,0,1
U,20160927,0,0,0,0,9,144,1000,200,12,13,9,21
U,20160927,0,0,0,0,9,144,1100,200,12,15,4,33
U,20160927,0,0,0,0,9,144,1200,200,10,18,1,18
U,20160927,0,0,0,0,9,144,1300,200,10,17,5,31
U,20160927,0,0,0,0,9,144,1400,200,6,22,2,16
U,20160927,0,0,0,0,9,144,1500,200,6,21,3,19
U,20160927,0,0,0,0,9,144,1600,200,8,20,5,21
U,20160927,0,0,0,0,9,144,1700,200,4,23,8,31
U,20160928,0,0,0,0,8,128,100,200,1,1,2,3
U,20160928,0,0,0,0,8,128,442,200,0,2,2,0
U,20160928,0,0,0,0,8,128,500,200,25,2,7,33
U,20160928,0,0,0,0,8,128,528,200,0,1,0,1
U,20160928,0,0,0,0,8,128,700,200,20,7,2,22
U,20160928,0,0,0,0,8,128,900,200,15,14,6,25
U,20160928,0,0,0,0,8,128,1000,200,1,3,0,4
U,20160928,0,0,0,0,8,128,1071,200,1,0,0,1
U,20160928,0,0,0,0,8,128,1100,200,8,18,4,25
U,20160928,0,0,0,0,8,128,1128,200,0,2,0,0
U,20160928,0,0,0,0,8,128,1300,200,5,22,2,24
U,20160928,0,0,0,0,8,128,1471,200,0,1,1,0
U,20160928,0,0,0,0,8,128,1500,200,3,25,0,18
U,20160928,0,0,0,0,8,128,1700,200,1,27,4,24
U,20160928,0,0,0,0,8,128,1814,200,0,2,0,2
U,20160928,0,0,0,0,8,128,1900,200,3,24,4,18
U,20160928,0,0,0,0,8,128,2157,200,0,2,1,1
U,20160928,0,0,0,0,8,128,2500,200,0,2,2,0
U,20160929,0,0,0,0,15,128,1,1,0,0,0,1
U,20160929,0,0,0,0,15,128,300,200,26,4,5,23
U,20160929,0,0,0,0,15,128,500,200,29,11,13,34
U,20160929,0,0,0,0,15,128,700,200,31,11,9,38
U,20160929,0,0,0,0,15,128,900,200,16,25,10,34
U,20160929,0,0,0,0,15,128,1000,200,1,0,0,2
U,20160929,0,0,0,0,15,128,1100,200,14,27,11,30
U,20160929,0,0,0,0,15,128,1300,200,4,36,11,32
U,20160929,0,0,0,0,15,128,1500,200,4,35,17,22
U,20160929,0,0,0,0,15,128,1700,200,1,38,3,24
U,20160929,0,0,0,0,15,128,1900,200,0,12,4,6
U,20161003,0,0,0,0,15,64,300,200,19,0,1,17
U,20161003,0,0,0,0,15,64,500,200,34,3,2,50
U,20161003,0,0,0,0,15,64,700,200,30,8,0,46
U,20161003,0,0,0,0,15,64,900,200,12,27,1,30
U,20161003,0,0,0,0,15,64,1100,200,3,34,0,34
U,20161003,0,0,0,0,15,64,1300,200,1,36,3,38
U,20161003,0,0,0,0,15,64,1500,200,0,38,1,29
U,20161003,0,0,0,0,15,64,1700,200,0,38,2,37
U,20161003,0,0,0,0,15,64,1900,200,0,16,1,14
U,20161005,0,0,0,0,240,4,60,200,1,0,0,0
U,20161005,0,0,0,0,240,4,300,200,28,6,3,48
U,20161005,0,0,0,0,240,4,500,200,26,8,3,38
U,20161005,0,0,0,0,240,4,700,200,14,20,3,28
U,20161005,0,0,0,0,240,4,900,200,0,34,2,24
U,20161005,0,0,0,0,240,4,1100,200,2,32,3,27
U,20161005,0,0,0,0,240,4,1300,200,0,33,4,28
U,20161005,0,0,0,0,240,4,1500,200,0,34,1,33
U,20161005,0,0,0,0,240,4,1700,200,0,32,5,19
U,20161006,0,0,0,0,0,2,900,200,0,0,1,0
U,20161006,0,0,0,0,15,128,300,200,1,0,0,0
U,20161006,0,0,0,0,15,128,500,200,1,1,0,1
U,20161006,0,0,0,0,15,128,700,200,1,1,1,2
U,20161006,0,0,0,0,15,128,900,200,0,2,0,0
U,20161006,0,0,0,0,15,128,1500,200,0,1,0,1
U,20161006,0,0,0,0,15,128,1700,200,0,1,1,2
U,20161006,0,0,0,0,240,2,300,200,36,1,5,25
U,20161006,0,0,0,0,240,2,500,200,35,2,2,28
U,20161006,0,0,0,0,240,2,700,200,20,16,0,28
U,20161006,0,0,0,0,240,2,900,200,4,33,0,47
U,20161006,0,0,0,0,240,2,1100,200,1,37,3,40
U,20161006,0,0,0,0,240,2,1300,200,0,38,2,38
U,20161006,0,0,0,0,240,2,1500,200,0,37,3,36
U,20161006,0,0,0,0,240,2,1700,200,0,36,2,38
U,20161007,0,0,0,0,15,16,300,200,24,0,0,29
U,20161007,0,0,0,0,15,16,500,200,23,1,0,30
U,20161007,0,0,0,0,15,16,700,200,16,11,0,22
U,20161007,0,0,0,0,15,16,900,200,5,19,1,25
U,20161007,0,0,0,0,15,16,1100,200,0,24,1,25
U,20161007,0,0,0,0,15,16,1300,200,0,27,1,23
U,20161007,0,0,0,0,15,16,1500,200,0,26,1,21
U,20161007,0,0,0,0,15,16,1700,200,0,26,1,24
U,20161007,0,0,0,0,15,128,60,200,0,0,0,1
U,20161007,0,0,0,0,15,128,300,200,12,1,0,14
U,20161007,0,0,0,0,15,128,500,200,12,0,1,8
U,20161007,0,0,0,0,15,128,700,200,11,2,2,13
U,20161007,0,0,0,0,15,128,900,200,1,12,0,16
U,20161007,0,0,0,0,15,128,1000,50,1,4,4,1
U,20161007,0,0,0,0,15,128,1000,200,0,1,1,0
U,20161007,0,0,0,0,15,128,1100,200,2,11,0,12
U,20161007,0,0,0,0,15,128,1300,200,0,11,1,8
U,20161007,0,0,0,0,15,128,1500,200,0,12,3,9
U,20161007,0,0,0,0,15,128,1700,200,0,10,1,6
U,20161010,0,0,0,0,15,240,60,200,1,0,0,0
U,20161010,0,0,0,0,15,240,300,200,44,0,1,32
U,20161010,0,0,0,0,15,240,500,200,39,3,3,38
U,20161010,0,0,0,0,15,240,700,200,20,22,1,48
U,20161010,0,0,0,0,15,240,900,200,3,37,6,49
U,20161010,0,0,0,0,15,240,1100,200,2,40,4,47
U,20161010,0,0,0,0,15,240,1300,200,1,43,2,36
U,20161010,0,0,0,0,15,240,1500,200,1,41,3,38
U,20161010,0,0,0,0,15,240,1700,200,0,42,5,32
U,20161011,0,0,0,0,12,192,300,200,44,2,0,49
U,20161011,0,0,0,0,12,192,500,200,44,2,2,40
U,20161011,0,0,0,0,12,192,700,200,18,28,4,45
U,20161011,0,0,0,0,12,192,900,200,2,44,1,43
U,20161011,0,0,0,0,12,192,1100,200,0,46,6,50
U,20161011,0,0,0,0,12,192,1300,200,0,44,3,35
U,20161011,0,0,0,0,12,192,1500,200,0,46,4,49
U,20161011,0,0,0,0,12,192,1700,200,0,46,4,35
U,20161011,0,0,0,0,15,128,1300,200,0,1,0,0
U,20161012,0,0,0,0,12,192,300,200,42,3,5,50
U,20161012,0,0,0,0,12,192,500,200,40,4,2,33
U,20161012,0,0,0,0,12,192,700,200,29,13,4,25
U,20161012,0,0,0,0,12,192,900,200,7,37,1,46
U,20161012,0,0,0,0,12,192,1100,200,0,45,3,56
U,20161012,0,0,0,0,12,192,1300,200,1,44,1,44
U,20161012,0,0,0,0,12,192,1500,200,0,41,2,42
U,20161012,0,0,0,0,12,192,1700,200,0,44,3,39
