pointsID,curveID,Comp Amp,Comp PW,Misses,Hits,HR,p
0,1.0,200,200,10,0.0,0.0,
1,1.0,260,200,8,2.0,0.2,
2,1.0,320,200,10,0.0,0.0,
3,1.0,380,200,9,1.0,0.1,
4,1.0,440,200,8,2.0,0.2,
5,1.0,500,200,7,2.0,0.2222222222222222,
6,1.0,560,200,8,2.0,0.2,
7,1.0,620,200,7,3.0,0.3,
8,3.0,0,200,9,0.0,0.0,-0.010582010582010594
9,3.0,60,200,9,0.0,0.0,
10,3.0,120,200,9,0.0,0.0,
11,3.0,180,200,7,2.0,0.2222222222222222,
12,3.0,200,200,11,4.0,0.26666666666666666,
13,3.0,240,200,0,7.0,1.0,
14,3.0,260,200,0,15.0,1.0,
15,3.0,300,200,0,9.0,1.0,
16,3.0,320,200,0,15.0,1.0,
17,3.0,360,200,0,8.0,1.0,
18,3.0,380,200,0,15.0,1.0,
19,3.0,420,200,0,9.0,1.0,
20,3.0,440,200,0,15.0,1.0,
21,3.0,500,200,0,14.0,1.0,
22,3.0,560,200,0,15.0,1.0,
23,3.0,620,200,0,14.0,1.0,
24,5.0,610,200,9,1.0,0.1,
25,5.0,640,200,5,5.0,0.5,
26,5.0,670,200,3,9.0,0.75,
27,5.0,700,200,1,9.0,0.9,
28,5.0,730,200,0,10.0,1.0,
29,5.0,760,200,1,9.0,0.9,-inf
30,5.0,790,200,1,9.0,0.9,
31,5.0,800,200,1,9.0,0.9,
32,5.0,820,200,0,12.0,1.0,
33,5.0,830,200,1,9.0,0.9,
34,5.0,860,200,1,7.0,0.875,
35,5.0,890,200,2,8.0,0.8,
36,5.0,920,200,0,10.0,1.0,
37,5.0,950,200,1,8.0,0.8888888888888888,
38,5.0,980,200,0,10.0,1.0,
39,5.0,1010,200,0,9.0,1.0,
40,8.0,10,200,35,4.0,0.10256410256410256,-0.04020979020979016
41,8.0,17,200,35,2.0,0.05405405405405406,-0.05593966059082334
42,8.0,25,200,39,0.0,0.0,-0.09090909090909095
43,8.0,33,200,22,17.0,0.4358974358974359,0.3463573463573464
44,8.0,41,200,4,36.0,0.9,0.8925925925925926
45,8.0,49,200,1,39.0,0.975,0.9736111111111111
46,8.0,57,200,0,39.0,1.0,1.0
47,8.0,65,200,0,39.0,1.0,1.0
48,9.0,400,100,0,30.0,1.0,1.0
49,9.0,400,150,0,30.0,1.0,1.0
50,9.0,400,200,0,30.0,1.0,1.0
51,9.0,400,250,1,29.0,0.9666666666666667,0.9666666666666667
52,9.0,400,300,1,29.0,0.9666666666666667,0.964367816091954
53,9.0,400,350,0,30.0,1.0,1.0
54,9.0,400,400,2,27.0,0.9310344827586207,0.9264367816091954
55,9.0,400,450,0,30.0,1.0,1.0
56,9.0,400,500,0,30.0,1.0,1.0
57,14.0,200,200,13,6.0,0.3157894736842105,-0.2363804247460758
58,14.0,210,200,10,9.0,0.47368421052631576,
59,14.0,220,200,7,12.0,0.631578947368421,-inf
60,14.0,230,200,7,12.0,0.631578947368421,
61,14.0,240,200,4,14.0,0.7777777777777778,-inf
62,14.0,250,200,1,18.0,0.9473684210526315,
63,14.0,260,200,1,18.0,0.9473684210526315,
64,14.0,270,200,0,19.0,1.0,
65,15.0,250,200,9,4.0,0.3076923076923077,-0.07809747504403981
66,15.0,260,200,7,6.0,0.46153846153846156,
67,15.0,270,200,5,5.0,0.5,-inf
68,15.0,280,200,5,8.0,0.6153846153846154,
69,15.0,290,200,11,27.0,0.7105263157894737,-inf
70,15.0,300,200,9,30.0,0.7692307692307693,
71,15.0,310,200,10,29.0,0.7435897435897436,
72,15.0,320,200,5,32.0,0.8648648648648649,-inf
73,15.0,330,200,4,18.0,0.8181818181818182,-inf
74,15.0,340,200,0,22.0,1.0,
75,15.0,350,200,2,22.0,0.9166666666666666,
76,15.0,360,200,1,23.0,0.9583333333333334,-inf
77,16.0,10,200,9,0.0,0.0,
78,16.0,30,200,6,0.0,0.0,
79,16.0,50,200,5,1.0,0.16666666666666666,-inf
80,16.0,90,200,8,0.0,0.0,
81,16.0,110,200,2,4.0,0.6666666666666666,-inf
82,16.0,130,200,1,7.0,0.875,
83,16.0,150,200,0,7.0,1.0,
84,16.0,300,200,11,266.0,0.9602888086642599,-inf
85,17.0,0,200,47,1.0,0.020833333333333332,-0.03296703296703301
86,17.0,60,200,48,0.0,0.0,
87,17.0,120,200,39,8.0,0.1702127659574468,-inf
88,17.0,180,200,1,46.0,0.9787234042553191,-inf
89,17.0,240,200,0,48.0,1.0,
90,17.0,300,200,0,48.0,1.0,
91,17.0,360,200,0,48.0,1.0,
92,17.0,420,200,0,48.0,1.0,
93,18.0,30,200,24,5.0,0.1724137931034483,-0.6175548589341692
94,18.0,50,200,27,14.0,0.34146341463414637,-0.16740576496674053
95,18.0,70,200,35,9.0,0.20454545454545456,-0.8421052631578944
96,18.0,90,200,30,10.0,0.25,-0.4021739130434784
97,18.0,110,200,7,37.0,0.8409090909090909,0.7674825174825175
98,18.0,130,200,0,41.0,1.0,1.0
99,18.0,150,200,1,41.0,0.9761904761904762,0.964696223316913
100,18.0,170,200,1,41.0,0.9761904761904762,0.9595238095238094
101,18.0,190,200,0,8.0,1.0,1.0
102,19.0,1500,200,16,0.0,0.0,-0.07339449541284401
103,19.0,1580,200,10,4.0,0.2857142857142857,
104,19.0,1660,200,11,5.0,0.3125,
105,19.0,1740,200,0,14.0,1.0,
106,19.0,1820,200,1,13.0,0.9285714285714286,
107,19.0,1900,200,0,14.0,1.0,
108,19.0,1980,200,0,15.0,1.0,
109,19.0,2060,200,0,15.0,1.0,
110,20.0,2080,200,5,1.0,0.16666666666666666,
111,20.0,2320,200,0,6.0,1.0,
112,20.0,2400,200,0,6.0,1.0,
113,21.0,2400,200,3,3.0,0.5,0.49038461538461536
114,21.0,2480,200,3,3.0,0.5,
115,21.0,2560,200,4,4.0,0.5,
116,21.0,2640,200,1,5.0,0.8333333333333334,
117,21.0,2720,200,0,6.0,1.0,
118,21.0,2800,200,0,6.0,1.0,
119,21.0,2880,200,3,4.0,0.5714285714285714,
120,21.0,2960,200,4,4.0,0.5,
121,23.0,2500,200,6,1.0,0.14285714285714285,0.05923344947735189
122,23.0,2580,200,4,3.0,0.42857142857142855,
123,23.0,2900,200,0,7.0,1.0,
124,24.0,680,200,2,4.0,0.6666666666666666,
125,24.0,860,200,1,5.0,0.8333333333333334,
126,24.0,920,200,1,5.0,0.8333333333333334,
127,25.0,300,200,28,6.0,0.17647058823529413,0.125
128,25.0,500,200,26,8.0,0.23529411764705882,0.1749226006191951
129,25.0,700,200,14,20.0,0.5882352941176471,0.5441176470588235
130,25.0,900,200,0,34.0,1.0,1.0
131,25.0,1100,200,2,32.0,0.9411764705882353,0.934640522875817
132,25.0,1300,200,0,33.0,1.0,1.0
133,25.0,1500,200,0,34.0,1.0,1.0
134,25.0,1700,200,0,32.0,1.0,1.0
135,26.0,30,100,17,1.0,0.05555555555555555,-0.31172839506172845
136,26.0,30,200,27,3.0,0.1,-0.32000000000000006
137,26.0,50,100,16,4.0,0.2,0.10769230769230773
138,26.0,50,200,30,0.0,0.0,-0.26086956521739124
139,26.0,70,100,19,1.0,0.05,0.05
140,26.0,70,200,30,0.0,0.0,-0.08
141,26.0,90,100,17,3.0,0.15,0.022499999999999968
142,26.0,90,200,32,0.0,0.0,-0.052631578947368474
143,26.0,110,100,17,5.0,0.22727272727272727,0.11688311688311688
144,26.0,110,200,21,8.0,0.27586206896551724,0.27586206896551724
145,26.0,130,100,16,3.0,0.15789473684210525,-0.20300751879699258
146,26.0,130,200,3,28.0,0.9032258064516129,0.8932146829810901
147,26.0,150,100,16,4.0,0.2,-0.02857142857142854
148,26.0,150,200,0,32.0,1.0,1.0
149,26.0,170,100,10,7.0,0.4117647058823529,0.3411764705882353
150,26.0,170,200,0,32.0,1.0,1.0
151,27.0,400,100,6,0.0,0.0,-0.06382978723404262
152,27.0,400,102,6,0.0,0.0,
153,27.0,400,104,1,5.0,0.8333333333333334,
154,27.0,400,106,1,6.0,0.8571428571428571,
155,27.0,400,108,0,7.0,1.0,
156,27.0,400,110,3,4.0,0.5714285714285714,
157,27.0,400,112,0,6.0,1.0,
158,27.0,400,114,0,6.0,1.0,
159,28.0,400,150,5,2.0,0.2857142857142857,0.025974025974025882
160,28.0,400,160,5,3.0,0.375,
161,28.0,400,170,5,1.0,0.16666666666666666,-inf
162,28.0,400,180,6,2.0,0.25,
